Bacteria	Comparison	p value	mean.diff	FDR
s__Sneathia_amnii	<= 21 vs > 21	2,07E-02	-7,30E-01	7,01E-02
s__Lactobacillus_crispatus	<= 27 vs > 27	2,10E-02	-1,47E-01	7,09E-02
g__Shuttleworthia	<= 38 vs > 38	2,12E-02	1,29E-01	7,12E-02
s__Prevotella_bivia	<= 23 vs > 23	2,17E-02	-4,14E-01	7,28E-02
s__Megasphaera_lornae	<= 29 vs > 29	2,21E-02	2,48E-01	7,39E-02
s__Sneathia_sanguinegens	<= 37 vs > 37	2,22E-02	2,00E-01	7,41E-02
s__Aerococcus_christensenii	<= 42 vs > 42	2,25E-02	2,11E-01	7,45E-02
s__Lactobacillus_jensenii	<= 48 vs > 48	2,27E-02	-3,86E-01	7,45E-02
s__Mageeibacillus_indolicus	<= 47 vs > 47	2,27E-02	3,61E-01	7,45E-02
g__Shuttleworthia	<= 31 vs > 31	2,27E-02	1,28E-01	7,45E-02
s__Ureaplasma_parvum	<= 26 vs > 26	2,27E-02	2,82E-01	7,45E-02
s__Bifidobacterium_breve	<= 47 vs > 47	2,28E-02	-2,68E-01	7,46E-02
s__Mageeibacillus_indolicus	<= 31 vs > 31	2,38E-02	2,03E-01	7,74E-02
s__Bifidobacterium_breve	<= 22 vs > 22	2,39E-02	3,99E-01	7,77E-02
s__Anaerococcus_tetradius	<= 44 vs > 44	2,43E-02	2,11E-01	7,87E-02
s__Prevotella_colorans	<= 44 vs > 44	2,46E-02	1,95E-01	7,94E-02
s__Tissierellia_bacterium	<= 31 vs > 31	2,48E-02	1,84E-01	7,97E-02
s__Sneathia_sanguinegens	<= 36 vs > 36	2,52E-02	1,93E-01	8,07E-02
s__Prevotella_bivia	<= 49 vs > 49	2,56E-02	5,49E-01	8,19E-02
s__Lactobacillus_crispatus	<= 23 vs > 23	2,58E-02	-2,46E-01	8,22E-02
s__Bifidobacterium_breve	<= 21 vs > 21	2,61E-02	4,70E-01	8,25E-02
s__Lactobacillus_vaginalis	<= 22 vs > 22	2,63E-02	5,64E-01	8,25E-02
s__Ureaplasma_parvum	<= 29 vs > 29	2,62E-02	2,10E-01	8,25E-02
s__Ureaplasma_parvum	<= 47 vs > 47	2,61E-02	3,11E-01	8,25E-02
s__Ureaplasma_parvum	<= 48 vs > 48	2,63E-02	3,81E-01	8,25E-02
s__Veillonella_montpellierensis	<= 38 vs > 38	2,65E-02	1,43E-01	8,30E-02
s__Gardnerella_vaginalis	<= 38 vs > 38	2,68E-02	1,12E-01	8,32E-02
s__Ureaplasma_parvum	<= 24 vs > 24	2,68E-02	3,58E-01	8,32E-02
s__Megasphaera_hutchinsoni	<= 36 vs > 36	2,70E-02	1,67E-01	8,36E-02
s__Megasphaera_lornae	<= 31 vs > 31	2,71E-02	2,09E-01	8,36E-02
s__Atopobium_vaginae	<= 37 vs > 37	2,78E-02	1,22E-01	8,55E-02
s__Prevotella_colorans	<= 26 vs > 26	2,80E-02	1,96E-01	8,58E-02
s__Prevotella_colorans	<= 43 vs > 43	2,80E-02	1,78E-01	8,58E-02
s__Megasphaera_lornae	<= 28 vs > 28	2,81E-02	2,56E-01	8,58E-02
s__Anaerococcus_tetradius	<= 45 vs > 45	2,87E-02	2,23E-01	8,71E-02
s__Megasphaera_hutchinsoni	<= 48 vs > 48	2,88E-02	4,04E-01	8,71E-02
s__Ureaplasma_parvum	<= 30 vs > 30	2,88E-02	1,93E-01	8,71E-02
s__Lactobacillus_jensenii	<= 38 vs > 38	2,97E-02	-1,56E-01	8,95E-02
s__Prevotella_colorans	<= 27 vs > 27	3,03E-02	1,76E-01	9,09E-02
s__Megasphaera_hutchinsoni	<= 34 vs > 34	3,03E-02	1,64E-01	9,09E-02
s__Megasphaera_hutchinsoni	<= 27 vs > 27	3,05E-02	2,37E-01	9,11E-02
s__Gardnerella_vaginalis	<= 52 vs > 52	3,06E-02	7,59E-01	9,13E-02
s__Sneathia_sanguinegens	<= 48 vs > 48	3,08E-02	4,42E-01	9,14E-02
s__Megasphaera_hutchinsoni	<= 24 vs > 24	3,12E-02	3,27E-01	9,25E-02
s__Atopobium_vaginae	<= 38 vs > 38	3,20E-02	1,21E-01	9,45E-02
s__Aerococcus_christensenii	<= 48 vs > 48	3,21E-02	3,71E-01	9,47E-02
s__Bifidobacterium_breve	<= 24 vs > 24	3,24E-02	2,72E-01	9,54E-02
s__Prevotella_timonensis	<= 33 vs > 33	3,47E-02	1,78E-01	1,01E-01
s__Allisonella_histaminiformans	<= 32 vs > 32	3,47E-02	1,70E-01	1,01E-01
s__Lactobacillus_crispatus	<= 49 vs > 49	3,53E-02	-2,82E-01	1,03E-01
s__Anaerococcus_tetradius	<= 46 vs > 46	3,57E-02	2,42E-01	1,04E-01
s__Aerococcus_christensenii	<= 45 vs > 45	3,60E-02	2,36E-01	1,04E-01
s__Ureaplasma_parvum	<= 27 vs > 27	3,61E-02	2,33E-01	1,04E-01
s__Veillonella_montpellierensis	<= 31 vs > 31	3,63E-02	1,37E-01	1,05E-01
s__Megasphaera_lornae	<= 33 vs > 33	3,67E-02	1,84E-01	1,06E-01
s__Lactobacillus_iners	<= 22 vs > 22	3,75E-02	-2,20E-01	1,08E-01
g__Shuttleworthia	<= 30 vs > 30	3,89E-02	1,23E-01	1,11E-01
s__Prevotella_bivia	<= 50 vs > 50	3,93E-02	7,64E-01	1,12E-01
s__Prevotella_colorans	<= 31 vs > 31	3,94E-02	1,30E-01	1,12E-01
s__Sneathia_amnii	<= 47 vs > 47	3,94E-02	3,47E-01	1,12E-01
s__Anaerococcus_tetradius	<= 41 vs > 41	3,97E-02	1,60E-01	1,12E-01
s__Coriobacteriales_bacterium	<= 33 vs > 33	3,99E-02	1,69E-01	1,13E-01
s__Atopobium_vaginae	<= 36 vs > 36	4,21E-02	1,12E-01	1,18E-01
s__Prevotella_amnii	<= 37 vs > 37	4,20E-02	1,81E-01	1,18E-01
s__Lactobacillus_crispatus	<= 50 vs > 50	4,19E-02	-4,85E-01	1,18E-01
g__Shuttleworthia	<= 36 vs > 36	4,23E-02	1,09E-01	1,18E-01
s__Lactobacillus_crispatus	<= 51 vs > 51	4,38E-02	-4,87E-01	1,22E-01
s__Bifidobacterium_breve	<= 42 vs > 42	4,40E-02	-1,58E-01	1,22E-01
s__Megasphaera_hutchinsoni	<= 37 vs > 37	4,43E-02	1,54E-01	1,23E-01
g__Shuttleworthia	<= 39 vs > 39	4,49E-02	1,16E-01	1,24E-01
s__Prevotella_bivia	<= 42 vs > 42	4,53E-02	1,91E-01	1,25E-01
s__Prevotella_bivia	<= 27 vs > 27	4,55E-02	-2,29E-01	1,25E-01
s__Megasphaera_hutchinsoni	<= 28 vs > 28	4,57E-02	2,00E-01	1,25E-01
s__Prevotella_bivia	<= 48 vs > 48	4,71E-02	3,57E-01	1,28E-01
s__Veillonella_montpellierensis	<= 36 vs > 36	4,69E-02	1,23E-01	1,28E-01
s__Veillonella_montpellierensis	<= 41 vs > 41	4,70E-02	1,48E-01	1,28E-01
s__Megasphaera_hutchinsoni	<= 50 vs > 50	4,75E-02	8,60E-01	1,28E-01
s__Sneathia_sanguinegens	<= 35 vs > 35	4,79E-02	1,71E-01	1,29E-01
s__Prevotella_colorans	<= 47 vs > 47	4,84E-02	2,41E-01	1,30E-01
s__Prevotella_colorans	<= 42 vs > 42	4,94E-02	1,48E-01	1,32E-01
s__Lactobacillus_crispatus	<= 29 vs > 29	4,93E-02	-1,03E-01	1,32E-01
g__Shuttleworthia	<= 51 vs > 51	4,95E-02	9,58E-01	1,32E-01
s__Mageeibacillus_indolicus	<= 32 vs > 32	5,06E-02	1,69E-01	1,35E-01
s__Anaerococcus_tetradius	<= 52 vs > 52	5,24E-02	1,41E+00	1,39E-01
s__Tissierellia_bacterium	<= 29 vs > 29	5,24E-02	1,82E-01	1,39E-01
s__Prevotella_bivia	<= 40 vs > 40	5,34E-02	1,65E-01	1,40E-01
s__Lactobacillus_crispatus	<= 26 vs > 26	5,32E-02	-1,39E-01	1,40E-01
s__Mageeibacillus_indolicus	<= 49 vs > 49	5,31E-02	4,84E-01	1,40E-01
s__Veillonella_montpellierensis	<= 40 vs > 40	5,33E-02	1,36E-01	1,40E-01
s__Ureaplasma_parvum	<= 52 vs > 52	5,36E-02	1,24E+00	1,40E-01
s__Allisonella_histaminiformans	<= 50 vs > 50	5,41E-02	7,63E-01	1,41E-01
s__Megasphaera_lornae	<= 50 vs > 50	5,43E-02	7,97E-01	1,41E-01
s__Sneathia_amnii	<= 22 vs > 22	5,42E-02	-4,96E-01	1,41E-01
s__Prevotella_bivia	<= 22 vs > 22	5,52E-02	-3,92E-01	1,43E-01
s__Lactobacillus_iners	<= 46 vs > 46	5,53E-02	-1,20E-01	1,43E-01
s__Bifidobacterium_breve	<= 23 vs > 23	5,67E-02	2,92E-01	1,46E-01
s__Veillonella_montpellierensis	<= 32 vs > 32	5,68E-02	1,21E-01	1,46E-01
s__Prevotella_colorans	<= 32 vs > 32	5,80E-02	1,16E-01	1,49E-01
s__Dialister_micraerophilus	<= 36 vs > 36	5,81E-02	1,47E-01	1,49E-01
s__Aerococcus_christensenii	<= 41 vs > 41	5,84E-02	1,65E-01	1,49E-01
s__Veillonella_montpellierensis	<= 34 vs > 34	5,89E-02	1,16E-01	1,50E-01
s__Atopobium_vaginae	<= 27 vs > 27	6,03E-02	1,64E-01	1,53E-01
s__Lactobacillus_vaginalis	<= 42 vs > 42	6,03E-02	-1,88E-01	1,53E-01
g__Shuttleworthia	<= 29 vs > 29	6,13E-02	1,19E-01	1,55E-01
s__Allisonella_histaminiformans	<= 31 vs > 31	6,14E-02	1,57E-01	1,55E-01
s__Megasphaera_lornae	<= 25 vs > 25	6,20E-02	2,96E-01	1,56E-01
s__Megasphaera_lornae	<= 32 vs > 32	6,34E-02	1,68E-01	1,59E-01
s__Bifidobacterium_breve	<= 25 vs > 25	6,45E-02	2,16E-01	1,61E-01
s__Sneathia_sanguinegens	<= 38 vs > 38	6,45E-02	1,65E-01	1,61E-01
s__Atopobium_vaginae	<= 23 vs > 23	6,54E-02	3,06E-01	1,63E-01
s__Anaerococcus_tetradius	<= 39 vs > 39	6,56E-02	1,30E-01	1,63E-01
s__Atopobium_vaginae	<= 34 vs > 34	6,58E-02	1,03E-01	1,63E-01
s__Anaerococcus_tetradius	<= 22 vs > 22	6,62E-02	-4,08E-01	1,64E-01
s__Tissierellia_bacterium	<= 23 vs > 23	6,78E-02	3,42E-01	1,67E-01
s__Sneathia_sanguinegens	<= 21 vs > 21	6,84E-02	-5,90E-01	1,68E-01
s__Gardnerella_vaginalis	<= 37 vs > 37	6,87E-02	9,11E-02	1,69E-01
s__Coriobacteriales_bacterium	<= 24 vs > 24	6,90E-02	3,01E-01	1,69E-01
s__Megasphaera_hutchinsoni	<= 25 vs > 25	6,98E-02	2,48E-01	1,70E-01
s__Megasphaera_hutchinsoni	<= 46 vs > 46	6,99E-02	2,39E-01	1,70E-01
s__Lactobacillus_jensenii	<= 37 vs > 37	7,04E-02	-1,26E-01	1,71E-01
s__Megasphaera_hutchinsoni	<= 47 vs > 47	7,12E-02	2,71E-01	1,73E-01
s__Bifidobacterium_breve	<= 51 vs > 51	7,18E-02	-6,23E-01	1,74E-01
s__Prevotella_amnii	<= 50 vs > 50	7,21E-02	7,31E-01	1,74E-01
s__Prevotella_colorans	<= 48 vs > 48	7,23E-02	2,69E-01	1,74E-01
s__Lactobacillus_iners	<= 49 vs > 49	7,29E-02	-2,02E-01	1,75E-01
s__Prevotella_amnii	<= 36 vs > 36	7,44E-02	1,57E-01	1,78E-01
s__Finegoldia_magna	<= 25 vs > 25	7,45E-02	1,55E-01	1,78E-01
s__Streptococcus_anginosus	<= 27 vs > 27	7,62E-02	1,49E-01	1,82E-01
s__Streptococcus_anginosus	<= 29 vs > 29	7,70E-02	1,29E-01	1,83E-01
s__Lactobacillus_gasseri	<= 49 vs > 49	7,81E-02	-4,55E-01	1,85E-01
s__Coriobacteriales_bacterium	<= 28 vs > 28	7,98E-02	1,89E-01	1,89E-01
s__Coriobacteriales_bacterium	<= 50 vs > 50	8,06E-02	7,24E-01	1,90E-01
s__Prevotella_bivia	<= 47 vs > 47	8,06E-02	2,59E-01	1,90E-01
s__Fusobacterium_nucleatum	<= 45 vs > 45	8,05E-02	1,27E-01	1,90E-01
s__Prevotella_bivia	<= 24 vs > 24	8,12E-02	-2,77E-01	1,91E-01
s__Veillonella_montpellierensis	<= 43 vs > 43	8,26E-02	1,47E-01	1,93E-01
s__Fusobacterium_nucleatum	<= 44 vs > 44	8,26E-02	1,15E-01	1,93E-01
g__Shuttleworthia	<= 28 vs > 28	8,34E-02	1,18E-01	1,94E-01
s__Sneathia_amnii	<= 20 vs > 20	8,36E-02	-7,01E-01	1,94E-01
s__Fusobacterium_nucleatum	<= 43 vs > 43	8,43E-02	1,07E-01	1,96E-01
s__Streptococcus_anginosus	<= 32 vs > 32	8,64E-02	1,06E-01	2,00E-01
s__Megasphaera_hutchinsoni	<= 38 vs > 38	8,64E-02	1,34E-01	2,00E-01
s__Megasphaera_hutchinsoni	<= 33 vs > 33	8,77E-02	1,32E-01	2,02E-01
s__Ureaplasma_parvum	<= 51 vs > 51	8,81E-02	8,57E-01	2,02E-01
s__Streptococcus_anginosus	<= 38 vs > 38	8,83E-02	1,04E-01	2,02E-01
s__Veillonella_montpellierensis	<= 47 vs > 47	8,85E-02	2,16E-01	2,02E-01
s__Prevotella_bivia	<= 25 vs > 25	8,95E-02	-2,41E-01	2,04E-01
s__Megasphaera_hutchinsoni	<= 26 vs > 26	9,00E-02	2,07E-01	2,05E-01
s__Dialister_micraerophilus	<= 40 vs > 40	9,04E-02	1,45E-01	2,06E-01
s__Megasphaera_hutchinsoni	<= 35 vs > 35	9,12E-02	1,27E-01	2,07E-01
s__Aerococcus_christensenii	<= 47 vs > 47	9,17E-02	2,42E-01	2,07E-01
s__Ureaplasma_parvum	<= 25 vs > 25	9,18E-02	2,37E-01	2,07E-01
s__Megasphaera_hutchinsoni	<= 30 vs > 30	9,21E-02	1,48E-01	2,07E-01
s__Lactobacillus_vaginalis	<= 43 vs > 43	9,26E-02	-1,79E-01	2,08E-01
s__Coriobacteriales_bacterium	<= 30 vs > 30	9,31E-02	1,58E-01	2,08E-01
s__Prevotella_bivia	<= 30 vs > 30	9,29E-02	-1,54E-01	2,08E-01
s__Finegoldia_magna	<= 29 vs > 29	9,35E-02	1,03E-01	2,09E-01
s__Coriobacteriales_bacterium	<= 31 vs > 31	9,38E-02	1,48E-01	2,09E-01
s__Sneathia_sanguinegens	<= 33 vs > 33	9,40E-02	1,48E-01	2,09E-01
s__Streptococcus_anginosus	<= 33 vs > 33	9,43E-02	1,01E-01	2,09E-01
s__Prevotella_bivia	<= 26 vs > 26	9,51E-02	-2,13E-01	2,10E-01
s__Coriobacteriales_bacterium	<= 26 vs > 26	9,54E-02	2,17E-01	2,11E-01
s__Coriobacteriales_bacterium	<= 25 vs > 25	9,70E-02	2,42E-01	2,14E-01
s__Veillonella_montpellierensis	<= 42 vs > 42	9,74E-02	1,31E-01	2,14E-01
s__Veillonella_montpellierensis	<= 35 vs > 35	9,81E-02	1,01E-01	2,15E-01
s__Aerococcus_christensenii	<= 51 vs > 51	1,00E-01	9,15E-01	2,19E-01
s__Dialister_micraerophilus	<= 35 vs > 35	1,00E-01	1,27E-01	2,19E-01
s__Veillonella_montpellierensis	<= 39 vs > 39	1,00E-01	1,10E-01	2,19E-01
s__Lactobacillus_gasseri	<= 33 vs > 33	1,02E-01	-1,43E-01	2,23E-01
s__Sneathia_amnii	<= 38 vs > 38	1,03E-01	1,45E-01	2,23E-01
s__Veillonella_montpellierensis	<= 46 vs > 46	1,03E-01	1,77E-01	2,23E-01
s__Tissierellia_bacterium	<= 49 vs > 49	1,04E-01	4,04E-01	2,25E-01
s__Atopobium_vaginae	<= 28 vs > 28	1,04E-01	1,27E-01	2,25E-01
s__Streptococcus_anginosus	<= 31 vs > 31	1,05E-01	1,04E-01	2,26E-01
s__Prevotella_colorans	<= 49 vs > 49	1,05E-01	3,34E-01	2,26E-01
s__Streptococcus_anginosus	<= 50 vs > 50	1,05E-01	-3,95E-01	2,26E-01
s__Lactobacillus_crispatus	<= 52 vs > 52	1,07E-01	-5,42E-01	2,28E-01
s__Lactobacillus_vaginalis	<= 24 vs > 24	1,07E-01	2,83E-01	2,29E-01
s__Megasphaera_hutchinsoni	<= 29 vs > 29	1,11E-01	1,50E-01	2,37E-01
s__Streptococcus_anginosus	<= 34 vs > 34	1,11E-01	9,41E-02	2,37E-01
s__Lactobacillus_jensenii	<= 49 vs > 49	1,12E-01	-3,51E-01	2,37E-01
s__Streptococcus_anginosus	<= 28 vs > 28	1,12E-01	1,23E-01	2,37E-01
s__Prevotella_timonensis	<= 32 vs > 32	1,13E-01	1,38E-01	2,39E-01
s__Anaerococcus_tetradius	<= 37 vs > 37	1,15E-01	1,05E-01	2,43E-01
g__Shuttleworthia	<= 35 vs > 35	1,16E-01	8,37E-02	2,44E-01
g__Shuttleworthia	<= 34 vs > 34	1,17E-01	8,35E-02	2,46E-01
s__Atopobium_vaginae	<= 35 vs > 35	1,18E-01	8,65E-02	2,46E-01
s__Coriobacteriales_bacterium	<= 29 vs > 29	1,18E-01	1,57E-01	2,47E-01
s__Prevotella_bivia	<= 46 vs > 46	1,18E-01	2,03E-01	2,47E-01
s__Lactobacillus_crispatus	<= 38 vs > 38	1,19E-01	-6,73E-02	2,48E-01
s__Streptococcus_anginosus	<= 36 vs > 36	1,20E-01	9,17E-02	2,49E-01
s__Sneathia_sanguinegens	<= 32 vs > 32	1,20E-01	1,42E-01	2,49E-01
s__Ureaplasma_parvum	<= 23 vs > 23	1,20E-01	3,01E-01	2,49E-01
s__Veillonella_montpellierensis	<= 45 vs > 45	1,21E-01	1,50E-01	2,51E-01
s__Fusobacterium_nucleatum	<= 46 vs > 46	1,22E-01	1,28E-01	2,51E-01
s__Atopobium_vaginae	<= 26 vs > 26	1,23E-01	1,51E-01	2,52E-01
s__Lactobacillus_iners	<= 29 vs > 29	1,25E-01	-6,74E-02	2,56E-01
s__Anaerococcus_tetradius	<= 21 vs > 21	1,25E-01	-4,32E-01	2,56E-01
s__Prevotella_bivia	<= 43 vs > 43	1,28E-01	1,57E-01	2,61E-01
s__Streptococcus_anginosus	<= 21 vs > 21	1,28E-01	2,93E-01	2,61E-01
s__Prevotella_bivia	<= 41 vs > 41	1,28E-01	1,37E-01	2,62E-01
g__Shuttleworthia	<= 37 vs > 37	1,30E-01	8,22E-02	2,65E-01
s__Allisonella_histaminiformans	<= 28 vs > 28	1,34E-01	1,53E-01	2,73E-01
s__Prevotella_amnii	<= 35 vs > 35	1,36E-01	1,31E-01	2,75E-01
s__Aerococcus_christensenii	<= 52 vs > 52	1,37E-01	1,09E+00	2,76E-01
s__Finegoldia_magna	<= 24 vs > 24	1,40E-01	1,45E-01	2,81E-01
s__Dialister_micraerophilus	<= 50 vs > 50	1,39E-01	6,11E-01	2,81E-01
s__Anaerococcus_tetradius	<= 34 vs > 34	1,42E-01	9,77E-02	2,85E-01
s__Sneathia_sanguinegens	<= 47 vs > 47	1,44E-01	2,46E-01	2,90E-01
s__Ureaplasma_parvum	<= 28 vs > 28	1,46E-01	1,47E-01	2,93E-01
s__Prevotella_timonensis	<= 31 vs > 31	1,48E-01	1,31E-01	2,95E-01
s__Bifidobacterium_dentium	<= 32 vs > 32	1,49E-01	-8,24E-02	2,96E-01
s__Aerococcus_christensenii	<= 23 vs > 23	1,49E-01	-2,82E-01	2,96E-01
s__Streptococcus_anginosus	<= 35 vs > 35	1,49E-01	8,49E-02	2,96E-01
s__Veillonella_montpellierensis	<= 21 vs > 21	1,50E-01	3,08E-01	2,97E-01
s__Anaerococcus_tetradius	<= 38 vs > 38	1,51E-01	9,78E-02	3,00E-01
s__Streptococcus_anginosus	<= 30 vs > 30	1,52E-01	9,79E-02	3,00E-01
s__Anaerococcus_tetradius	<= 40 vs > 40	1,52E-01	1,05E-01	3,00E-01
s__Atopobium_vaginae	<= 20 vs > 20	1,57E-01	4,42E-01	3,09E-01
s__Coriobacteriales_bacterium	<= 23 vs > 23	1,58E-01	2,85E-01	3,09E-01
s__Aerococcus_christensenii	<= 29 vs > 29	1,58E-01	-1,36E-01	3,09E-01
s__Aerococcus_christensenii	<= 30 vs > 30	1,58E-01	-1,26E-01	3,09E-01
s__Fusobacterium_nucleatum	<= 20 vs > 20	1,57E-01	-3,79E-01	3,09E-01
s__Anaerococcus_tetradius	<= 36 vs > 36	1,62E-01	9,26E-02	3,15E-01
s__Bifidobacterium_breve	<= 29 vs > 29	1,62E-01	1,17E-01	3,16E-01
s__Sneathia_sanguinegens	<= 22 vs > 22	1,65E-01	-3,70E-01	3,21E-01
s__Coriobacteriales_bacterium	<= 32 vs > 32	1,67E-01	1,17E-01	3,24E-01
s__Fusobacterium_nucleatum	<= 39 vs > 39	1,68E-01	6,73E-02	3,24E-01
s__Prevotella_bivia	<= 39 vs > 39	1,70E-01	1,12E-01	3,28E-01
s__Bifidobacterium_breve	<= 32 vs > 32	1,71E-01	9,79E-02	3,29E-01
s__Bifidobacterium_dentium	<= 24 vs > 24	1,72E-01	1,43E-01	3,30E-01
s__Finegoldia_magna	<= 26 vs > 26	1,72E-01	1,06E-01	3,30E-01
s__Veillonella_montpellierensis	<= 48 vs > 48	1,72E-01	2,05E-01	3,30E-01
s__Allisonella_histaminiformans	<= 26 vs > 26	1,73E-01	1,69E-01	3,31E-01
s__Lactobacillus_vaginalis	<= 41 vs > 41	1,73E-01	-1,29E-01	3,31E-01
s__Lactobacillus_vaginalis	<= 44 vs > 44	1,74E-01	-1,53E-01	3,31E-01
s__Sneathia_amnii	<= 37 vs > 37	1,75E-01	1,18E-01	3,33E-01
s__Lactobacillus_vaginalis	<= 25 vs > 25	1,77E-01	2,09E-01	3,36E-01
s__Fusobacterium_nucleatum	<= 36 vs > 36	1,79E-01	6,04E-02	3,39E-01
s__Ureaplasma_parvum	<= 22 vs > 22	1,79E-01	3,13E-01	3,39E-01
s__Anaerococcus_tetradius	<= 20 vs > 20	1,80E-01	-4,92E-01	3,40E-01
s__Gardnerella_vaginalis	<= 36 vs > 36	1,81E-01	6,71E-02	3,41E-01
s__Megasphaera_hutchinsoni	<= 31 vs > 31	1,81E-01	1,11E-01	3,41E-01
s__Anaerococcus_tetradius	<= 51 vs > 51	1,83E-01	6,67E-01	3,43E-01
s__Lactobacillus_vaginalis	<= 45 vs > 45	1,84E-01	-1,60E-01	3,45E-01
g__Shuttleworthia	<= 52 vs > 52	1,86E-01	9,13E-01	3,48E-01
s__Mageeibacillus_indolicus	<= 22 vs > 22	1,87E-01	3,32E-01	3,49E-01
s__Megasphaera_lornae	<= 24 vs > 24	1,90E-01	2,35E-01	3,54E-01
s__Lactobacillus_jensenii	<= 50 vs > 50	1,98E-01	-4,51E-01	3,69E-01
s__Fusobacterium_nucleatum	<= 42 vs > 42	2,00E-01	7,35E-02	3,71E-01
s__Sneathia_amnii	<= 29 vs > 29	2,01E-01	-1,38E-01	3,72E-01
s__Lactobacillus_vaginalis	<= 23 vs > 23	2,02E-01	2,69E-01	3,73E-01
s__Anaerococcus_tetradius	<= 35 vs > 35	2,02E-01	8,43E-02	3,73E-01
s__Bifidobacterium_breve	<= 41 vs > 41	2,02E-01	-9,61E-02	3,73E-01
g__Shuttleworthia	<= 33 vs > 33	2,03E-01	6,89E-02	3,73E-01
s__Coriobacteriales_bacterium	<= 52 vs > 52	2,03E-01	1,03E+00	3,73E-01
s__Dialister_micraerophilus	<= 34 vs > 34	2,04E-01	9,92E-02	3,73E-01
s__Sneathia_amnii	<= 34 vs > 34	2,05E-01	1,09E-01	3,75E-01
s__Aerococcus_christensenii	<= 33 vs > 33	2,08E-01	-9,83E-02	3,79E-01
s__Bifidobacterium_breve	<= 27 vs > 27	2,09E-01	1,22E-01	3,80E-01
s__Veillonella_montpellierensis	<= 29 vs > 29	2,10E-01	9,42E-02	3,82E-01
s__Atopobium_vaginae	<= 33 vs > 33	2,14E-01	7,11E-02	3,88E-01
s__Lactobacillus_iners	<= 47 vs > 47	2,15E-01	-8,74E-02	3,91E-01
s__Allisonella_histaminiformans	<= 52 vs > 52	2,16E-01	9,22E-01	3,92E-01
s__Anaerococcus_tetradius	<= 47 vs > 47	2,19E-01	1,61E-01	3,95E-01
s__Sneathia_amnii	<= 31 vs > 31	2,20E-01	-1,15E-01	3,97E-01
s__Bifidobacterium_dentium	<= 26 vs > 26	2,21E-01	1,01E-01	3,97E-01
s__Finegoldia_magna	<= 30 vs > 30	2,21E-01	7,11E-02	3,98E-01
s__Prevotella_timonensis	<= 24 vs > 24	2,24E-01	2,08E-01	4,01E-01
s__Lactobacillus_gasseri	<= 32 vs > 32	2,24E-01	-1,10E-01	4,01E-01
s__Dialister_micraerophilus	<= 39 vs > 39	2,24E-01	1,00E-01	4,01E-01
s__Streptococcus_anginosus	<= 37 vs > 37	2,25E-01	7,25E-02	4,01E-01
s__Aerococcus_christensenii	<= 32 vs > 32	2,27E-01	-9,68E-02	4,05E-01
s__Prevotella_bivia	<= 45 vs > 45	2,31E-01	1,41E-01	4,11E-01
s__Lactobacillus_iners	<= 28 vs > 28	2,31E-01	-5,64E-02	4,11E-01
s__Prevotella_amnii	<= 34 vs > 34	2,33E-01	1,06E-01	4,14E-01
s__Allisonella_histaminiformans	<= 27 vs > 27	2,34E-01	1,33E-01	4,14E-01
s__Streptococcus_anginosus	<= 48 vs > 48	2,35E-01	-1,49E-01	4,16E-01
s__Bifidobacterium_breve	<= 26 vs > 26	2,36E-01	1,28E-01	4,16E-01
s__Sneathia_amnii	<= 30 vs > 30	2,44E-01	-1,17E-01	4,30E-01
s__Bifidobacterium_breve	<= 40 vs > 40	2,47E-01	-8,39E-02	4,35E-01
s__Veillonella_montpellierensis	<= 33 vs > 33	2,52E-01	7,16E-02	4,42E-01
s__Prevotella_colorans	<= 24 vs > 24	2,53E-01	1,33E-01	4,42E-01
s__Fusobacterium_nucleatum	<= 21 vs > 21	2,55E-01	-2,21E-01	4,46E-01
s__Anaerococcus_tetradius	<= 50 vs > 50	2,58E-01	4,32E-01	4,51E-01
s__Prevotella_bivia	<= 44 vs > 44	2,59E-01	1,23E-01	4,51E-01
s__Finegoldia_magna	<= 23 vs > 23	2,59E-01	1,36E-01	4,51E-01
s__Lactobacillus_vaginalis	<= 52 vs > 52	2,61E-01	-8,16E-01	4,53E-01
s__Prevotella_timonensis	<= 25 vs > 25	2,63E-01	1,70E-01	4,56E-01
s__Prevotella_bivia	<= 51 vs > 51	2,64E-01	6,42E-01	4,56E-01
s__Lactobacillus_crispatus	<= 30 vs > 30	2,64E-01	-5,58E-02	4,56E-01
s__Gardnerella_vaginalis	<= 35 vs > 35	2,65E-01	5,62E-02	4,57E-01
s__Lactobacillus_iners	<= 45 vs > 45	2,65E-01	-6,26E-02	4,57E-01
f__Enterobacteriaceae	<= 28 vs > 28	2,69E-01	-9,73E-02	4,63E-01
s__Aerococcus_christensenii	<= 28 vs > 28	2,70E-01	-1,15E-01	4,64E-01
s__Fusobacterium_nucleatum	<= 41 vs > 41	2,73E-01	5,88E-02	4,67E-01
s__Fusobacterium_nucleatum	<= 35 vs > 35	2,74E-01	4,88E-02	4,68E-01
s__Bifidobacterium_dentium	<= 33 vs > 33	2,75E-01	-6,01E-02	4,69E-01
s__Prevotella_bivia	<= 32 vs > 32	2,75E-01	-8,98E-02	4,69E-01
s__Aerococcus_christensenii	<= 20 vs > 20	2,76E-01	-3,79E-01	4,69E-01
s__Bifidobacterium_breve	<= 28 vs > 28	2,76E-01	9,77E-02	4,70E-01
