Bacteria	Feature	estimate	se	t	p value	N	FDR
s__Bifidobacterium_breve	MENSTRUAL_PHASE_REG3	1,53E-01	8,12E-02	1,88E+00	6,02E-02	3657	3,53E-01
s__Prevotella_bivia	SYM_YYD	2,88E-01	1,53E-01	1,89E+00	5,94E-02	5198	3,53E-01
s__Bifidobacterium_breve	BIRTH_CONTROL1	2,79E-01	1,49E-01	1,88E+00	6,06E-02	1275	3,54E-01
s__Atopobium_vaginae	MENSTRUAL_PHASE_REG3	-1,37E-01	7,33E-02	-1,87E+00	6,14E-02	3657	3,55E-01
s__Lactobacillus_jensenii	PS_UTI	2,27E-01	1,22E-01	1,87E+00	6,19E-02	5217	3,55E-01
s__Tissierellia_bacterium	SEX72	5,24E-01	2,80E-01	1,87E+00	6,16E-02	4976	3,55E-01
s__Prevotella_timonensis	WAISTLINE	-1,79E-02	9,60E-03	-1,87E+00	6,17E-02	1975	3,55E-01
s__Anaerococcus_tetradius	SYM_ABDPAIN	-1,93E-01	1,04E-01	-1,86E+00	6,24E-02	5321	3,56E-01
s__Bifidobacterium_breve	PARITY1	2,11E-01	1,14E-01	1,86E+00	6,31E-02	3122	3,59E-01
s__Gardnerella_vaginalis	EDU_CAT1	1,19E-01	6,40E-02	1,85E+00	6,40E-02	4412	3,61E-01
s__Prevotella_amnii	SEX_PARTNER_CAT	4,79E-01	2,59E-01	1,85E+00	6,41E-02	5165	3,61E-01
f__Enterobacteriaceae	BIRTH_CONTROL3	-1,51E-01	8,16E-02	-1,85E+00	6,49E-02	3679	3,64E-01
s__Lactobacillus_vaginalis	BIRTH_CONTROL3	2,63E-01	1,43E-01	1,84E+00	6,62E-02	3679	3,66E-01
s__Lactobacillus_jensenii	BMI	-2,17E-02	1,18E-02	-1,84E+00	6,58E-02	5437	3,66E-01
s__Prevotella_timonensis	EXA_CERBLE	3,23E-01	1,76E-01	1,84E+00	6,62E-02	4782	3,66E-01
s__Ureaplasma_parvum	PARITY2	-2,61E-01	1,42E-01	-1,84E+00	6,65E-02	2832	3,66E-01
s__Fusobacterium_nucleatum	SYM_ABDPAIN	1,28E-01	6,99E-02	1,83E+00	6,66E-02	5321	3,66E-01
s__Megasphaera_hutchinsoni	AGE	1,01E-02	5,57E-03	1,82E+00	6,89E-02	5437	3,77E-01
s__Sneathia_sanguinegens	SYM_PAINBLE	2,82E-01	1,56E-01	1,82E+00	6,96E-02	5305	3,79E-01
s__Finegoldia_magna	INCOME1	-1,70E-01	9,40E-02	-1,81E+00	6,99E-02	2471	3,79E-01
s__Bifidobacterium_breve	PS_UTI	2,14E-01	1,18E-01	1,81E+00	7,05E-02	5217	3,80E-01
s__Lactobacillus_vaginalis	SYM_BLEDDING	-3,07E-01	1,70E-01	-1,81E+00	7,06E-02	5298	3,80E-01
s__Prevotella_bivia	BIRTH_CONTROL2	-6,08E-01	3,36E-01	-1,81E+00	7,11E-02	889	3,81E-01
s__Prevotella_bivia	EDU_CAT1	1,73E-01	9,61E-02	1,80E+00	7,14E-02	4412	3,81E-01
s__Atopobium_vaginae	WAISTLINE	-1,16E-02	6,43E-03	-1,80E+00	7,18E-02	1975	3,82E-01
s__Ureaplasma_parvum	SYM_PAINBLE	2,37E-01	1,33E-01	1,78E+00	7,46E-02	5305	3,95E-01
s__Sneathia_sanguinegens	ALCOHOL_CAT	-1,83E-01	1,03E-01	-1,78E+00	7,53E-02	5279	3,96E-01
s__Lactobacillus_vaginalis	PS_HYPERTENSION	-5,26E-01	2,96E-01	-1,78E+00	7,55E-02	5296	3,96E-01
s__Mageeibacillus_indolicus	BIRTH_CONTROL3	-2,40E-01	1,36E-01	-1,77E+00	7,68E-02	3679	4,00E-01
s__Fusobacterium_nucleatum	EXA_VAGWAL	2,14E-01	1,21E-01	1,77E+00	7,68E-02	4793	4,00E-01
s__Lactobacillus_gasseri	AGE	-1,10E-02	6,23E-03	-1,76E+00	7,79E-02	5437	4,03E-01
s__Mageeibacillus_indolicus	BMI	2,52E-02	1,43E-02	1,76E+00	7,87E-02	5437	4,03E-01
s__Finegoldia_magna	EDU_CAT1	-1,16E-01	6,59E-02	-1,76E+00	7,83E-02	4412	4,03E-01
s__Allisonella_histaminiformans	SYM_YYD	2,68E-01	1,53E-01	1,76E+00	7,84E-02	5198	4,03E-01
s__Veillonella_montpellierensis	MENSTRUAL_PHASE_REG3	-1,41E-01	8,04E-02	-1,76E+00	7,90E-02	3657	4,03E-01
s__Anaerococcus_tetradius	SYM_BLEDDING	2,38E-01	1,35E-01	1,75E+00	7,95E-02	5298	4,04E-01
s__Lactobacillus_crispatus	BIRTH_CONTROL3	1,24E-01	7,13E-02	1,74E+00	8,22E-02	3679	4,12E-01
s__Lactobacillus_vaginalis	BMI	-2,60E-02	1,50E-02	-1,73E+00	8,44E-02	5437	4,12E-01
s__Tissierellia_bacterium	ETHINIC	3,35E-01	1,93E-01	1,74E+00	8,24E-02	5133	4,12E-01
f__Enterobacteriaceae	ETHINIC	-2,19E-01	1,26E-01	-1,73E+00	8,29E-02	5133	4,12E-01
s__Megasphaera_hutchinsoni	EXA_CERDIS	2,74E-01	1,58E-01	1,73E+00	8,30E-02	4864	4,12E-01
s__Allisonella_histaminiformans	EXA_CERDIS	2,91E-01	1,67E-01	1,74E+00	8,22E-02	4864	4,12E-01
s__Fusobacterium_nucleatum	GRAVITY2	-1,56E-01	9,02E-02	-1,73E+00	8,41E-02	3991	4,12E-01
s__Tissierellia_bacterium	INCOME1	-2,17E-01	1,26E-01	-1,73E+00	8,41E-02	2471	4,12E-01
s__Lactobacillus_crispatus	MENSTRUAL_PHASE_REG1	-9,51E-02	5,47E-02	-1,74E+00	8,21E-02	3657	4,12E-01
s__Atopobium_vaginae	PARITY1	1,80E-01	1,04E-01	1,72E+00	8,47E-02	3122	4,12E-01
s__Lactobacillus_jensenii	PARITY2	-2,26E-01	1,31E-01	-1,72E+00	8,47E-02	2832	4,12E-01
s__Lactobacillus_jensenii	SMOKING_CAT	-3,16E-01	1,82E-01	-1,73E+00	8,34E-02	5246	4,12E-01
s__Lactobacillus_crispatus	SYM_ITCHING	-9,21E-02	5,35E-02	-1,72E+00	8,51E-02	5347	4,12E-01
s__Gardnerella_vaginalis	DRUG_ESTROGEN	-4,97E-01	2,90E-01	-1,72E+00	8,62E-02	4825	4,14E-01
s__Fusobacterium_nucleatum	SYM_YYD	1,54E-01	8,95E-02	1,72E+00	8,60E-02	5198	4,14E-01
s__Lactobacillus_gasseri	ETHINIC	-3,66E-01	2,15E-01	-1,71E+00	8,80E-02	5133	4,15E-01
s__Veillonella_montpellierensis	MENSTRUAL_PHASE_REG1	1,38E-01	8,09E-02	1,71E+00	8,75E-02	3657	4,15E-01
s__Ureaplasma_parvum	MENSTRUAL_PHASE_REG3	-1,57E-01	9,15E-02	-1,71E+00	8,73E-02	3657	4,15E-01
s__Lactobacillus_vaginalis	SEX_PARTNER_CAT	-4,37E-01	2,56E-01	-1,71E+00	8,77E-02	5165	4,15E-01
s__Prevotella_amnii	SYM_PAINBLE	2,71E-01	1,59E-01	1,71E+00	8,72E-02	5305	4,15E-01
s__Anaerococcus_tetradius	SYM_YYD	2,26E-01	1,33E-01	1,70E+00	8,85E-02	5198	4,16E-01
s__Aerococcus_christensenii	SYM_ITCHING	1,58E-01	9,27E-02	1,70E+00	8,90E-02	5347	4,17E-01
s__Lactobacillus_iners	INCOME2	1,12E-01	6,62E-02	1,70E+00	8,94E-02	2656	4,17E-01
s__Gardnerella_vaginalis	PARITY2	1,79E-01	1,06E-01	1,69E+00	9,05E-02	2832	4,18E-01
s__Fusobacterium_nucleatum	PARITY2	-1,55E-01	9,18E-02	-1,69E+00	9,04E-02	2832	4,18E-01
f__Enterobacteriaceae	SEX_PARTNER_CAT	-2,48E-01	1,46E-01	-1,69E+00	9,02E-02	5165	4,18E-01
s__Sneathia_sanguinegens	INCOME1	-2,44E-01	1,45E-01	-1,69E+00	9,12E-02	2471	4,19E-01
s__Bifidobacterium_breve	MENSTRUAL_PHASE_REG2	-3,23E-01	1,91E-01	-1,69E+00	9,15E-02	3657	4,19E-01
s__Lactobacillus_crispatus	EDU_CAT1	-8,93E-02	5,32E-02	-1,68E+00	9,31E-02	4412	4,24E-01
s__Prevotella_timonensis	INCOME2	-2,44E-01	1,46E-01	-1,68E+00	9,34E-02	2656	4,24E-01
s__Finegoldia_magna	MENSTRUAL_PHASE_REG1	1,12E-01	6,70E-02	1,68E+00	9,34E-02	3657	4,24E-01
s__Sneathia_amnii	MENSTRUAL_PHASE_REG1	1,77E-01	1,06E-01	1,68E+00	9,37E-02	3657	4,24E-01
s__Prevotella_colorans	AGE	7,32E-03	4,38E-03	1,67E+00	9,49E-02	5437	4,24E-01
s__Prevotella_colorans	EXA_ORDOR	2,16E-01	1,29E-01	1,67E+00	9,46E-02	4810	4,24E-01
s__Megasphaera_lornae	MENSTRUAL_PHASE_REG3	-1,82E-01	1,09E-01	-1,67E+00	9,45E-02	3657	4,24E-01
f__Enterobacteriaceae	ADVERSE_PREGNANCY2	-1,76E-01	1,05E-01	-1,67E+00	9,52E-02	3519	4,25E-01
s__Tissierellia_bacterium	EDU_CAT2	3,67E-01	2,20E-01	1,67E+00	9,59E-02	2506	4,26E-01
g__Shuttleworthia	PARITY2	1,79E-01	1,08E-01	1,66E+00	9,69E-02	2832	4,29E-01
s__Prevotella_bivia	EXA_CERBLE	2,79E-01	1,70E-01	1,65E+00	1,00E-01	4782	4,40E-01
s__Lactobacillus_jensenii	PS_DIABETES	4,32E-01	2,62E-01	1,65E+00	9,97E-02	5297	4,40E-01
s__Ureaplasma_parvum	SEX72	4,44E-01	2,72E-01	1,63E+00	1,02E-01	4976	4,48E-01
s__Atopobium_vaginae	GRAVITY2	1,83E-01	1,12E-01	1,63E+00	1,03E-01	3991	4,49E-01
s__Megasphaera_lornae	AGE	1,05E-02	6,45E-03	1,62E+00	1,04E-01	5437	4,53E-01
s__Lactobacillus_vaginalis	SYM_PAINBLE	-2,54E-01	1,57E-01	-1,62E+00	1,04E-01	5305	4,53E-01
s__Finegoldia_magna	EDU_CAT2	-2,70E-01	1,67E-01	-1,62E+00	1,06E-01	2506	4,58E-01
s__Fusobacterium_nucleatum	EXA_ORDOR	1,63E-01	1,01E-01	1,62E+00	1,06E-01	4810	4,58E-01
s__Ureaplasma_parvum	AGE	8,74E-03	5,42E-03	1,61E+00	1,07E-01	5437	4,60E-01
s__Megasphaera_lornae	BIRTH_CONTROL1	-3,58E-01	2,22E-01	-1,61E+00	1,08E-01	1275	4,61E-01
f__Enterobacteriaceae	BIRTH_CONTROL2	-3,59E-01	2,23E-01	-1,61E+00	1,09E-01	889	4,63E-01
s__Atopobium_vaginae	SYM_ITCHING	1,13E-01	7,03E-02	1,60E+00	1,09E-01	5347	4,63E-01
s__Fusobacterium_nucleatum	EXA_CERBLE	1,57E-01	9,79E-02	1,60E+00	1,10E-01	4782	4,64E-01
s__Ureaplasma_parvum	MENSTRUAL_PHASE_REG2	-3,45E-01	2,16E-01	-1,60E+00	1,09E-01	3657	4,64E-01
s__Tissierellia_bacterium	PS_DIABETES	4,69E-01	2,93E-01	1,60E+00	1,10E-01	5297	4,65E-01
s__Mageeibacillus_indolicus	SYM_PAINBLE	2,38E-01	1,49E-01	1,60E+00	1,11E-01	5305	4,65E-01
s__Lactobacillus_crispatus	BMI	-1,21E-02	7,63E-03	-1,58E+00	1,14E-01	5437	4,75E-01
s__Gardnerella_vaginalis	MENSTRUAL_PHASE_REG3	-1,08E-01	6,81E-02	-1,58E+00	1,14E-01	3657	4,75E-01
s__Ureaplasma_parvum	PARITY1	-2,08E-01	1,32E-01	-1,57E+00	1,16E-01	3122	4,80E-01
s__Allisonella_histaminiformans	SMOKING_CAT	3,38E-01	2,15E-01	1,57E+00	1,16E-01	5246	4,80E-01
s__Allisonella_histaminiformans	PARITY2	-2,48E-01	1,58E-01	-1,57E+00	1,16E-01	2832	4,80E-01
s__Prevotella_timonensis	AGE	9,56E-03	6,10E-03	1,57E+00	1,17E-01	5437	4,80E-01
s__Atopobium_vaginae	EDU_CAT2	2,74E-01	1,75E-01	1,57E+00	1,17E-01	2506	4,80E-01
s__Finegoldia_magna	PS_HYPERTENSION	2,92E-01	1,86E-01	1,57E+00	1,17E-01	5296	4,80E-01
s__Lactobacillus_gasseri	ADVERSE_PREGNANCY2	-2,68E-01	1,72E-01	-1,56E+00	1,19E-01	3519	4,81E-01
s__Lactobacillus_vaginalis	EDU_CAT2	-3,98E-01	2,55E-01	-1,56E+00	1,20E-01	2506	4,81E-01
s__Prevotella_amnii	EXA_CERECT	2,35E-01	1,50E-01	1,56E+00	1,18E-01	3625	4,81E-01
s__Allisonella_histaminiformans	EXA_VAGWAL	3,26E-01	2,09E-01	1,56E+00	1,19E-01	4793	4,81E-01
s__Bifidobacterium_breve	INCOME2	1,79E-01	1,15E-01	1,56E+00	1,20E-01	2656	4,81E-01
s__Bifidobacterium_breve	SYM_BLEDDING	2,00E-01	1,28E-01	1,56E+00	1,20E-01	5298	4,81E-01
s__Prevotella_timonensis	BMI	2,21E-02	1,43E-02	1,54E+00	1,23E-01	5437	4,89E-01
s__Lactobacillus_vaginalis	DRUG_GLULIP	-7,14E-01	4,62E-01	-1,54E+00	1,23E-01	4827	4,89E-01
s__Prevotella_colorans	INCOME2	-1,69E-01	1,09E-01	-1,54E+00	1,23E-01	2656	4,89E-01
s__Prevotella_colorans	SEX_PARTNER_CAT	2,68E-01	1,73E-01	1,55E+00	1,22E-01	5165	4,89E-01
s__Mageeibacillus_indolicus	EXA_CERBLE	2,72E-01	1,77E-01	1,54E+00	1,24E-01	4782	4,90E-01
s__Bifidobacterium_dentium	BIRTH_CONTROL1	-2,01E-01	1,31E-01	-1,54E+00	1,25E-01	1275	4,92E-01
s__Megasphaera_lornae	PS_DIABETES	5,20E-01	3,39E-01	1,54E+00	1,25E-01	5297	4,92E-01
s__Ureaplasma_parvum	SMOKING_CAT	3,03E-01	1,98E-01	1,53E+00	1,25E-01	5246	4,92E-01
s__Tissierellia_bacterium	BMI	2,00E-02	1,32E-02	1,52E+00	1,28E-01	5437	4,96E-01
s__Anaerococcus_tetradius	GRAVITY2	-2,05E-01	1,35E-01	-1,52E+00	1,28E-01	3991	4,96E-01
s__Prevotella_colorans	PARITY1	1,61E-01	1,06E-01	1,52E+00	1,28E-01	3122	4,96E-01
g__Shuttleworthia	PS_HYPERTENSION	-2,81E-01	1,85E-01	-1,52E+00	1,29E-01	5296	4,96E-01
s__Sneathia_sanguinegens	SEX_PARTNER_CAT	3,87E-01	2,54E-01	1,52E+00	1,28E-01	5165	4,96E-01
s__Atopobium_vaginae	SEX72	3,26E-01	2,14E-01	1,52E+00	1,28E-01	4976	4,96E-01
s__Fusobacterium_nucleatum	SYM_BLEDDING	1,39E-01	9,15E-02	1,52E+00	1,30E-01	5298	4,96E-01
s__Anaerococcus_tetradius	WAISTLINE	-1,24E-02	8,17E-03	-1,52E+00	1,30E-01	1975	4,96E-01
s__Sneathia_sanguinegens	SMOKING_CAT	3,51E-01	2,32E-01	1,51E+00	1,30E-01	5246	4,97E-01
s__Streptococcus_anginosus	BIRTH_CONTROL1	-2,20E-01	1,46E-01	-1,51E+00	1,32E-01	1275	4,99E-01
s__Lactobacillus_gasseri	DRUG_ESTROGEN	-6,83E-01	4,53E-01	-1,51E+00	1,32E-01	4825	4,99E-01
s__Lactobacillus_jensenii	ETHINIC	-2,61E-01	1,73E-01	-1,50E+00	1,33E-01	5133	4,99E-01
s__Mageeibacillus_indolicus	EXA_CERECT	2,07E-01	1,38E-01	1,50E+00	1,33E-01	3625	4,99E-01
s__Aerococcus_christensenii	EXA_CERECT	1,93E-01	1,28E-01	1,50E+00	1,33E-01	3625	4,99E-01
s__Dialister_micraerophilus	PS_UTI	2,18E-01	1,44E-01	1,51E+00	1,31E-01	5217	4,99E-01
s__Gardnerella_vaginalis	SMOKING_CAT	2,17E-01	1,44E-01	1,50E+00	1,33E-01	5246	4,99E-01
s__Atopobium_vaginae	SYM_BLEDDING	1,69E-01	1,13E-01	1,50E+00	1,34E-01	5298	5,00E-01
s__Dialister_micraerophilus	SMOKING_CAT	3,23E-01	2,16E-01	1,49E+00	1,36E-01	5246	5,04E-01
s__Prevotella_colorans	GRAVITY1	1,70E-01	1,14E-01	1,49E+00	1,36E-01	1854	5,05E-01
s__Ureaplasma_parvum	ETHINIC	-2,79E-01	1,88E-01	-1,49E+00	1,37E-01	5133	5,07E-01
s__Bifidobacterium_dentium	PARITY2	-1,55E-01	1,05E-01	-1,48E+00	1,39E-01	2832	5,10E-01
s__Anaerococcus_tetradius	PS_HYPERTENSION	3,49E-01	2,36E-01	1,48E+00	1,39E-01	5296	5,10E-01
s__Megasphaera_hutchinsoni	DRUG_ANTIBIOTICS	-4,36E-01	2,97E-01	-1,47E+00	1,42E-01	4828	5,21E-01
s__Coriobacteriales_bacterium	SMOKING_CAT	3,28E-01	2,23E-01	1,47E+00	1,42E-01	5246	5,21E-01
s__Streptococcus_anginosus	SEX72	3,44E-01	2,35E-01	1,46E+00	1,43E-01	4976	5,22E-01
g__Shuttleworthia	EXA_VAGWAL	2,11E-01	1,45E-01	1,46E+00	1,44E-01	4793	5,24E-01
f__Enterobacteriaceae	PARITY2	-1,43E-01	9,83E-02	-1,46E+00	1,45E-01	2832	5,24E-01
s__Streptococcus_anginosus	SYM_ABDPAIN	1,38E-01	9,49E-02	1,46E+00	1,45E-01	5321	5,24E-01
s__Prevotella_timonensis	SYM_ABDPAIN	-1,81E-01	1,24E-01	-1,46E+00	1,45E-01	5321	5,25E-01
s__Sneathia_amnii	AGE	9,08E-03	6,25E-03	1,45E+00	1,46E-01	5437	5,26E-01
s__Lactobacillus_jensenii	EXA_VAGWAL	2,58E-01	1,78E-01	1,45E+00	1,47E-01	4793	5,26E-01
s__Allisonella_histaminiformans	BIRTH_CONTROL2	-5,14E-01	3,55E-01	-1,45E+00	1,47E-01	889	5,27E-01
s__Sneathia_amnii	DRUG_ANTIBIOTICS	4,82E-01	3,33E-01	1,45E+00	1,48E-01	4828	5,29E-01
s__Bifidobacterium_breve	DRUG_ESTROGEN	-5,25E-01	3,64E-01	-1,44E+00	1,49E-01	4825	5,30E-01
s__Megasphaera_hutchinsoni	SYM_PAINBLE	1,97E-01	1,36E-01	1,44E+00	1,49E-01	5305	5,30E-01
s__Prevotella_bivia	PS_DIABETES	-4,43E-01	3,08E-01	-1,44E+00	1,50E-01	5297	5,30E-01
s__Lactobacillus_jensenii	MENSTRUAL_PHASE_REG1	-1,21E-01	8,45E-02	-1,44E+00	1,51E-01	3657	5,33E-01
s__Coriobacteriales_bacterium	SYM_YYD	2,28E-01	1,59E-01	1,43E+00	1,52E-01	5198	5,37E-01
s__Aerococcus_christensenii	GRAVITY1	-2,30E-01	1,61E-01	-1,43E+00	1,54E-01	1854	5,39E-01
s__Lactobacillus_vaginalis	PARITY1	-2,22E-01	1,56E-01	-1,42E+00	1,55E-01	3122	5,42E-01
s__Lactobacillus_jensenii	SEX_PARTNER_CAT	-2,83E-01	1,99E-01	-1,42E+00	1,55E-01	5165	5,42E-01
s__Prevotella_colorans	BIRTH_CONTROL1	-2,16E-01	1,53E-01	-1,42E+00	1,57E-01	1275	5,43E-01
s__Coriobacteriales_bacterium	ETHINIC	2,99E-01	2,11E-01	1,42E+00	1,56E-01	5133	5,43E-01
s__Atopobium_vaginae	MENSTRUAL_PHASE_REG2	2,44E-01	1,73E-01	1,41E+00	1,57E-01	3657	5,43E-01
s__Coriobacteriales_bacterium	SYM_ITCHING	1,43E-01	1,01E-01	1,41E+00	1,57E-01	5347	5,43E-01
s__Tissierellia_bacterium	EXA_VAGWAL	2,82E-01	2,00E-01	1,41E+00	1,58E-01	4793	5,45E-01
s__Prevotella_amnii	MENSTRUAL_REGULAR	-2,35E-01	1,67E-01	-1,41E+00	1,59E-01	4899	5,45E-01
s__Sneathia_amnii	ETHINIC	3,06E-01	2,18E-01	1,40E+00	1,60E-01	5133	5,50E-01
s__Prevotella_bivia	INCOME2	1,95E-01	1,39E-01	1,40E+00	1,61E-01	2656	5,51E-01
s__Prevotella_amnii	INCOME1	-2,08E-01	1,49E-01	-1,40E+00	1,62E-01	2471	5,52E-01
s__Fusobacterium_nucleatum	BIRTH_CONTROL1	1,65E-01	1,18E-01	1,40E+00	1,63E-01	1275	5,52E-01
s__Allisonella_histaminiformans	SYM_URIOSP	-1,62E-01	1,16E-01	-1,40E+00	1,63E-01	5300	5,52E-01
s__Coriobacteriales_bacterium	SEX72	4,26E-01	3,07E-01	1,39E+00	1,65E-01	4976	5,58E-01
s__Dialister_micraerophilus	AGE	8,17E-03	5,91E-03	1,38E+00	1,67E-01	5437	5,59E-01
s__Sneathia_sanguinegens	EXA_ORDOR	2,59E-01	1,87E-01	1,38E+00	1,67E-01	4810	5,59E-01
s__Finegoldia_magna	INCOME2	-1,38E-01	9,98E-02	-1,38E+00	1,67E-01	2656	5,59E-01
s__Megasphaera_hutchinsoni	PS_DIABETES	4,05E-01	2,93E-01	1,38E+00	1,67E-01	5297	5,59E-01
s__Dialister_micraerophilus	SYM_ABDPAIN	-1,66E-01	1,20E-01	-1,38E+00	1,67E-01	5321	5,59E-01
s__Streptococcus_anginosus	ADVERSE_PREGNANCY2	-1,73E-01	1,26E-01	-1,37E+00	1,70E-01	3519	5,62E-01
g__Shuttleworthia	DRUG_GLULIP	3,93E-01	2,86E-01	1,37E+00	1,70E-01	4827	5,62E-01
s__Sneathia_amnii	PS_UTI	-2,09E-01	1,52E-01	-1,37E+00	1,70E-01	5217	5,62E-01
s__Lactobacillus_gasseri	SYM_ABDPAIN	-1,74E-01	1,27E-01	-1,38E+00	1,69E-01	5321	5,62E-01
s__Allisonella_histaminiformans	SYM_ABDPAIN	-1,64E-01	1,19E-01	-1,38E+00	1,69E-01	5321	5,62E-01
s__Megasphaera_lornae	PS_UTI	-2,15E-01	1,57E-01	-1,37E+00	1,71E-01	5217	5,62E-01
s__Lactobacillus_vaginalis	ETHINIC	-3,02E-01	2,22E-01	-1,36E+00	1,75E-01	5133	5,68E-01
s__Lactobacillus_crispatus	EXA_VAGWAL	-1,59E-01	1,17E-01	-1,36E+00	1,74E-01	4793	5,68E-01
s__Prevotella_bivia	PARITY2	-2,11E-01	1,56E-01	-1,36E+00	1,74E-01	2832	5,68E-01
s__Tissierellia_bacterium	SYM_PAINBLE	1,86E-01	1,37E-01	1,36E+00	1,74E-01	5305	5,68E-01
s__Mageeibacillus_indolicus	EDU_CAT2	3,26E-01	2,41E-01	1,35E+00	1,77E-01	2506	5,74E-01
s__Dialister_micraerophilus	EXA_CERBLE	2,31E-01	1,71E-01	1,35E+00	1,77E-01	4782	5,74E-01
s__Prevotella_colorans	DRUG_ESTROGEN	4,25E-01	3,16E-01	1,34E+00	1,79E-01	4825	5,77E-01
s__Bifidobacterium_breve	SMOKING_CAT	-2,37E-01	1,76E-01	-1,34E+00	1,80E-01	5246	5,79E-01
s__Finegoldia_magna	EXA_CERBLE	-1,53E-01	1,15E-01	-1,33E+00	1,83E-01	4782	5,87E-01
s__Prevotella_timonensis	EXA_VAGWAL	2,89E-01	2,17E-01	1,33E+00	1,83E-01	4793	5,87E-01
s__Lactobacillus_crispatus	DRUG_ESTROGEN	3,15E-01	2,37E-01	1,33E+00	1,85E-01	4825	5,90E-01
s__Atopobium_vaginae	EDU_CAT1	9,27E-02	6,99E-02	1,33E+00	1,85E-01	4412	5,90E-01
s__Lactobacillus_gasseri	INCOME1	-1,83E-01	1,38E-01	-1,32E+00	1,86E-01	2471	5,91E-01
s__Anaerococcus_tetradius	ETHINIC	2,33E-01	1,76E-01	1,32E+00	1,87E-01	5133	5,92E-01
s__Sneathia_sanguinegens	PS_HYPERTENSION	3,88E-01	2,94E-01	1,32E+00	1,87E-01	5296	5,92E-01
s__Bifidobacterium_dentium	AGE	-5,23E-03	3,97E-03	-1,32E+00	1,88E-01	5437	5,94E-01
s__Veillonella_montpellierensis	DRUG_ANTIBIOTICS	-3,36E-01	2,55E-01	-1,32E+00	1,88E-01	4828	5,94E-01
s__Allisonella_histaminiformans	EXA_CERBLE	2,22E-01	1,69E-01	1,31E+00	1,91E-01	4782	5,98E-01
s__Prevotella_bivia	PS_UTI	1,87E-01	1,43E-01	1,31E+00	1,91E-01	5217	5,98E-01
s__Bifidobacterium_breve	SYM_YYD	1,64E-01	1,25E-01	1,31E+00	1,90E-01	5198	5,98E-01
s__Gardnerella_vaginalis	PS_HYPERTENSION	-2,38E-01	1,83E-01	-1,30E+00	1,93E-01	5296	6,02E-01
s__Bifidobacterium_breve	INCOME1	-1,43E-01	1,10E-01	-1,30E+00	1,94E-01	2471	6,05E-01
s__Dialister_micraerophilus	ALCOHOL_CAT	-1,24E-01	9,57E-02	-1,29E+00	1,96E-01	5279	6,06E-01
s__Coriobacteriales_bacterium	EXA_CERECT	1,82E-01	1,40E-01	1,30E+00	1,95E-01	3625	6,06E-01
s__Prevotella_bivia	EDU_CAT2	3,10E-01	2,41E-01	1,29E+00	1,97E-01	2506	6,09E-01
s__Coriobacteriales_bacterium	SYM_PAINBLE	1,93E-01	1,50E-01	1,29E+00	1,97E-01	5305	6,09E-01
s__Gardnerella_vaginalis	AGE	5,05E-03	3,93E-03	1,29E+00	1,99E-01	5437	6,10E-01
g__Shuttleworthia	EXA_CERDIS	1,49E-01	1,15E-01	1,29E+00	1,98E-01	4864	6,10E-01
s__Atopobium_vaginae	BMI	1,28E-02	1,00E-02	1,28E+00	2,01E-01	5437	6,11E-01
s__Prevotella_amnii	DRUG_GLULIP	6,01E-01	4,69E-01	1,28E+00	2,00E-01	4827	6,11E-01
s__Lactobacillus_gasseri	EXA_CERECT	1,79E-01	1,40E-01	1,28E+00	2,00E-01	3625	6,11E-01
s__Atopobium_vaginae	MENSTRUAL_PHASE_REG1	9,42E-02	7,37E-02	1,28E+00	2,01E-01	3657	6,11E-01
s__Lactobacillus_jensenii	SYM_ITCHING	-1,05E-01	8,24E-02	-1,28E+00	2,01E-01	5347	6,11E-01
s__Streptococcus_anginosus	ALCOHOL_CAT	9,58E-02	7,54E-02	1,27E+00	2,04E-01	5279	6,13E-01
s__Lactobacillus_crispatus	BIRTH_CONTROL1	-1,36E-01	1,07E-01	-1,27E+00	2,05E-01	1275	6,13E-01
s__Megasphaera_lornae	EXA_CERBLE	2,35E-01	1,85E-01	1,27E+00	2,05E-01	4782	6,13E-01
s__Ureaplasma_parvum	EXA_VAGWAL	2,46E-01	1,93E-01	1,27E+00	2,03E-01	4793	6,13E-01
s__Gardnerella_vaginalis	MENSTRUAL_PHASE_REG1	8,72E-02	6,85E-02	1,27E+00	2,03E-01	3657	6,13E-01
s__Lactobacillus_iners	SYM_PAINBLE	8,48E-02	6,68E-02	1,27E+00	2,05E-01	5305	6,13E-01
s__Megasphaera_lornae	DRUG_GLULIP	-5,91E-01	4,67E-01	-1,27E+00	2,06E-01	4827	6,14E-01
s__Prevotella_colorans	GRAVITY2	1,47E-01	1,16E-01	1,26E+00	2,07E-01	3991	6,15E-01
s__Prevotella_timonensis	PS_UTI	1,87E-01	1,49E-01	1,26E+00	2,07E-01	5217	6,15E-01
s__Sneathia_amnii	SYM_ITCHING	1,30E-01	1,03E-01	1,26E+00	2,07E-01	5347	6,15E-01
s__Tissierellia_bacterium	ADVERSE_PREGNANCY1	-1,61E-01	1,28E-01	-1,26E+00	2,08E-01	3704	6,16E-01
s__Prevotella_colorans	EXA_CERECT	1,27E-01	1,01E-01	1,26E+00	2,09E-01	3625	6,16E-01
s__Megasphaera_hutchinsoni	MENSTRUAL_REGULAR	-1,78E-01	1,42E-01	-1,25E+00	2,10E-01	4899	6,16E-01
